Nom,Description,Dégâts,Exemplaires,Faction,Image,Poids(kg),Prix (Ru),Rang
Épée rouillée,"Cette vieille épée rongée par la rouille a probablement appartenu à un très ancien bretteur de grand renom. Elle peut encore servir, mais se brisera très rapidement. ",4,∞,Arès,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_jk5q8kjk5q8kjk5q.png,"1,3",1200,D
Arc en bois,"Cet arc en bois, idéal pour chasser du petit gibier, est peu efficace contre les monstres. Il vous permettra de tirer 6 flèches et se brisera automatiquement par la suite. Aucune force ne peut être appliquée aux arcs.",4,∞,Hermès,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_bwh330bwh330bwh3.png,"0,5",1200,D
Houe,"Cet outil agricole sert habituellement à travailler la terre et à labourer les champs, mais sa confection robuste en fait aussi une arme efficace. ",3,∞,Hermès,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_8gpuym8gpuym8gpu.png,"1,3",900,D
Lance Valorienne,"Avec son excellente tenue en main et son maniement aisé, cette lance est appréciée des voyageurs qui doivent se défendre des animaux sauvages tels que le loup. ",6,∞,Hermès,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_5hd0ke5hd0ke5hd0.png,"1,3",1800,C
Baguette de feu,Cette baguette magique pends  de la magie et produit des boules de feu qui consument tout ce qu'elles touchent. Ne pas frapper directement avec sous peine de la voir se casser rapidement. ,5,∞,Hécate,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_uug39iuug39iuug3.png,"1,2",1500,D
Boomerang,La forme singulière de cette arme lui permette de revenir vers son porteur après avoir été lancée. ,2,∞,Toutes les factions,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_5e5nyh5e5nyh5e5n.png,"0,8",600,D
Rateau,Cet outil agricole à quatre dents acérées est conçu pour ramasser le foin en un tour de main. Il est si léger que n'importe qui peut l'utiliser. ,2,∞,Hermès,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_486xzm486xzm486x.png,1,600,E
Baguette de glace,"Cette baguette magique, dont on dit qu'elle aurait été conçue dans la glace de la chaîne Lara, use de la magie pour produire des vagues glacées et est peu adaptée au combat au corps à corps. ",5,∞,Hécate,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_p0fiipp0fiipp0fi.png,"1,2",1500,D
Baguette de terre,Cette baguette magique use de la magie pour produire des vagues de soulèvement de terre et est peu adaptée au combat au corps à corps. ,5,"∞ ",Hécate,Compendium%20des%20Armes%20240c83847ed2807a9a19e4ae6a1495ea/Gemini_Generated_Image_xj93i2xj93i2xj93.png,"1,2",1500,D
,,,,,,,,
